Date,Reconstructed_Actual,Reconstructed_Predicted
2015-05-01,3.5983809403010776,3.7128404749719284
2015-06-01,3.730368159034036,3.713151269657533
2015-07-01,3.7986565258191978,3.805347849523603
2015-08-01,4.047438121977306,3.933818220844312
2015-09-01,4.3016864169727675,4.124617737176118
2015-10-01,4.2364091222936455,4.307531649041823
2015-11-01,4.294580913725353,4.2915927399471805
2015-12-01,4.275265237559443,4.328274807083919
2016-01-01,4.333780947185698,4.294305195447297
2016-02-01,4.163380963461741,4.323926887342256
2016-03-01,4.045800001724906,4.161163361072522
2016-04-01,3.888133321489607,4.059298202349279
2016-05-01,4.040404558181763,3.9789466175411037
2016-06-01,4.060268196192656,4.085782968440253
2016-07-01,4.005223773774647,4.0600373811644115
2016-08-01,4.021360926006151,4.014474807151617
2016-09-01,4.105904535813765,4.049222610563659
2016-10-01,4.171314262208485,4.130173872008771
2016-11-01,4.338659113103693,4.207326791657148
2016-12-01,4.456063639033925,4.345929869665795
2017-01-01,4.454604539004239,4.401150353501164
2017-02-01,4.440529990196228,4.398140901223401
2017-03-01,4.435021752896517,4.392575988862657
2017-04-01,4.402674961090088,4.376726259506319
2017-05-01,4.314360908840014,4.340319965907993
2017-06-01,4.275163607163862,4.267961984156578
2017-07-01,4.287228538876488,4.238045485200933
2017-08-01,4.281021760857624,4.237419253451831
2017-09-01,4.211119038718088,4.238273205345731
2017-10-01,4.22634092244235,4.201963478093259
2017-11-01,4.164768175645308,4.219082457456703
2017-12-01,4.075628553118024,4.137919127025368
2018-01-01,3.9556130222652266,3.9971127535717925
2018-02-01,3.9095600008964544,3.9219003215556767
2018-03-01,3.9003045450557354,3.9053975145501547
2018-04-01,3.882423798243205,3.880679140827185
2018-05-01,3.9627782365550166,3.9048641492055856
2018-06-01,3.9935381185440795,4.026462873032619
2018-07-01,4.045445442199707,3.995576927311921
2018-08-01,4.088708753171175,3.99608074879129
2018-09-01,4.136410021781922,4.06792320271632
2018-10-01,4.15511299216229,4.170120556667527
2018-11-01,4.180768164721402,4.17237371163483
2018-12-01,4.171547639937628,4.191542837974655
2019-01-01,4.1149522117946455,4.152292754155847
2019-02-01,4.075430059432984,4.090457199644791
2019-03-01,4.0752285321553545,4.111090934453847
2019-04-01,4.112304600802335,4.110882945534764
2019-05-01,4.164086363532326,4.1316847953714175
2019-06-01,4.156560015678406,4.12951154992454
2019-07-01,4.120152141736901,4.1350410506375574
2019-08-01,4.182181791825728,4.167195973495751
2019-09-01,4.181990441821871,4.192295343845903
2019-10-01,4.184556525686513,4.222636428439456
2019-11-01,4.155824947357178,4.1819455117749005
2019-12-01,4.147995406931097,4.182497288608962
2020-01-01,4.076495626698369,4.144798749552574
2020-02-01,4.154589986801147,4.12700071840139
2020-03-01,4.292463627728549,4.337153340468306
2020-04-01,4.348963672464544,4.351155214394865
2020-05-01,4.334261939639137,4.314700348795127
2020-06-01,4.27504545992071,4.240462840789914
2020-07-01,4.263086982395338,4.1893881169132055
2020-08-01,4.186785697937012,4.237110525263583
2020-09-01,4.147022724151611,4.21450224781667
2020-10-01,4.150136319073764,4.16135253993272
2020-11-01,4.112357116880871,4.103067367076806
2020-12-01,4.055500030517578,4.041425795218599
2021-01-01,4.0345000085376554,4.064172899206411
2021-02-01,4.042825055122376,4.036797141502802
2021-03-01,4.104195656983749,4.0492464159046575
2021-04-01,4.122149987654253,4.114984954208482
2021-05-01,4.124261969611759,4.150694228322803
2021-06-01,4.130909096110951,4.144913523509427
2021-07-01,4.196363644166425,4.183717599224167
2021-08-01,4.219581820748069,4.214392526192428
2021-09-01,4.16375452821905,4.2033219163543105
